City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Descritption
0,Lagos,NG,6.5833,3.75,74.53,77,71,6.67,broken clouds
1,Moissala,TD,8.3404,17.7663,72.21,95,79,2.62,broken clouds
2,Evensk,RU,61.95,159.2333,57.72,77,10,5.08,clear sky
3,Barrow,US,71.2906,-156.7887,51.82,62,0,4.61,clear sky
4,Bowen,AU,-20.0167,148.2333,65.52,93,99,10.11,overcast clouds
5,Ulaanbaatar,MN,47.9077,106.8832,57.33,77,40,4.47,scattered clouds
6,Asyut,EG,27.181,31.1837,89.78,20,3,9.73,clear sky
7,Kijang,KR,35.2442,129.2139,78.53,77,100,8.21,heavy intensity rain
8,Butaritari,KI,3.0707,172.7902,81.25,78,63,10.42,broken clouds
9,Punta Arenas,CL,-53.15,-70.9167,35.71,75,75,24.16,broken clouds
10,Rikitea,PF,-23.1203,-134.9692,73.18,75,0,1.19,clear sky
11,Hobart,AU,-42.8794,147.3294,34.05,94,1,3.44,clear sky
12,Hilo,US,19.7297,-155.09,81.28,83,75,4.61,broken clouds
13,Ponta Do Sol,PT,32.6667,-17.1,76.71,77,2,4.74,clear sky
14,Mount Gambier,AU,-37.8333,140.7667,38.97,85,0,5.84,clear sky
15,Touho,NC,-20.7833,165.2333,74.86,86,100,10.33,overcast clouds
16,Nuevo Casas Grandes,MX,30.4167,-107.9167,89.74,33,95,11.99,overcast clouds
17,Karpathos,GR,35.507,27.2132,73.36,78,0,28.77,clear sky
18,Klaksvik,FO,62.2266,-6.589,50.92,91,97,19.24,overcast clouds
19,Qaanaaq,GL,77.484,-69.3632,41.18,80,100,4.9,overcast clouds
20,Wadern,DE,49.5333,6.8833,70.47,87,100,10.89,overcast clouds
21,Bambous Virieux,MU,-20.3428,57.7575,71.85,60,40,18.41,light rain
22,Victoria,HK,22.2855,114.1577,87.33,85,19,5.01,few clouds
23,San Vicente,AR,-26.6167,-54.1333,77.97,57,3,4.36,clear sky
24,Sorong,ID,-0.8833,131.25,77.61,88,100,6.15,overcast clouds
25,Vaini,TO,-21.2,-175.2,73.56,88,40,5.75,scattered clouds
26,Bangolo,CI,7.0069,-7.475,71.4,88,100,2.82,overcast clouds
27,Andapa,MG,-14.65,49.65,60.46,99,100,2.59,light rain
28,Antsohihy,MG,-14.8796,47.9875,70.36,59,7,10.25,clear sky
29,Chokurdakh,RU,70.6333,147.9167,41.13,77,76,8.55,broken clouds
30,San Patricio,US,28.017,-97.5169,95.72,43,0,20.09,clear sky
31,Kirkuk,IQ,35.4681,44.3922,99.37,10,0,12.12,clear sky
32,Kieta,PG,-6.2167,155.6333,77.81,84,100,3.31,overcast clouds
33,Pachora,IN,20.6667,75.35,77.79,86,100,9.13,overcast clouds
34,Yerbogachen,RU,61.2767,108.0108,53.08,95,100,3.69,overcast clouds
35,Hithadhoo,MV,-0.6,73.0833,80.82,69,100,1.66,overcast clouds
36,Mataura,NZ,-46.1927,168.8643,39.47,92,100,1.7,overcast clouds
37,Antalaha,MG,-14.9003,50.2788,67.78,85,70,10.87,light rain
38,Dikson,RU,73.5069,80.5464,43.27,69,11,22.37,few clouds
39,Egvekinot,RU,66.3167,-179.1667,35.4,66,32,10.29,scattered clouds
40,Camacha,PT,33.0833,-16.3333,69.22,73,40,11.5,scattered clouds
41,Port Alfred,ZA,-33.5906,26.891,56.17,96,100,1.99,overcast clouds
42,New Norfolk,AU,-42.7826,147.0587,33.71,89,6,2.35,clear sky
43,Kushiro,JP,42.975,144.3747,56.7,91,79,3.4,broken clouds
44,Busselton,AU,-33.65,115.3333,56.77,95,100,11.68,overcast clouds
45,Ambon,ID,-3.6954,128.1814,77.23,15,31,12.15,scattered clouds
46,Cidreira,BR,-30.1811,-50.2056,63.09,84,0,15.46,clear sky
47,Buraydah,SA,26.326,43.975,97.25,9,4,10.27,clear sky
48,Ribeira Grande,PT,38.5167,-28.7,75.6,78,20,10.36,few clouds
49,Bengkulu,ID,-3.8004,102.2655,76.5,90,91,2.86,overcast clouds
50,Santo Antonio Do Sudoeste,BR,-26.0736,-53.7253,75.31,74,13,3.47,few clouds
51,East London,ZA,-33.0153,27.9116,62.51,81,87,5.95,light rain
52,Cherskiy,RU,68.75,161.3,38.55,79,47,12.37,scattered clouds
