City_ID,City,Country,Max Temp,Weather Descritption,Lat,Lng,Hotel Name
6,Asyut,EG,89.78,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
7,Kijang,KR,78.53,heavy intensity rain,35.2442,129.2139,Samyang Beach Villa
8,Butaritari,KI,81.25,broken clouds,3.0707,172.7902,Isles Sunset Lodge
10,Rikitea,PF,73.18,clear sky,-23.1203,-134.9692,People ThankYou
12,Hilo,US,81.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
13,Ponta Do Sol,PT,76.71,clear sky,32.6667,-17.1,Hotel do Campo
15,Touho,NC,74.86,overcast clouds,-20.7833,165.2333,Auberge Timay Evasion
16,Nuevo Casas Grandes,MX,89.74,overcast clouds,30.4167,-107.9167,Hotel Villa Colonial
17,Karpathos,GR,73.36,clear sky,35.507,27.2132,Alex
20,Wadern,DE,70.47,overcast clouds,49.5333,6.8833,Hotel Dagstuhler Hof
21,Bambous Virieux,MU,71.85,light rain,-20.3428,57.7575,Casa Tia Villa
22,Victoria,HK,87.33,few clouds,22.2855,114.1577,Mini Central
23,San Vicente,AR,77.97,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
24,Sorong,ID,77.61,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
25,Vaini,TO,73.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
26,Bangolo,CI,71.4,overcast clouds,7.0069,-7.475,Hôtel Boya Bangolo
28,Antsohihy,MG,70.36,clear sky,-14.8796,47.9875,Hotel de Ville
32,Kieta,PG,77.81,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
33,Pachora,IN,77.79,overcast clouds,20.6667,75.35,Vishal Avinash patil
35,Hithadhoo,MV,80.82,overcast clouds,-0.6,73.0833,Scoop Guest House
45,Ambon,ID,77.23,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
48,Ribeira Grande,PT,75.6,few clouds,38.5167,-28.7,Quinta da Meia Eira
49,Bengkulu,ID,76.5,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
50,Santo Antonio Do Sudoeste,BR,75.31,few clouds,-26.0736,-53.7253,Hotel Frontera
55,Port-Gentil,GA,75.16,broken clouds,-0.7193,8.7815,Fengshui Residence
58,Auki,SB,75.61,overcast clouds,-8.7676,160.7034,Auki Motel
59,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
62,Carnarvon,AU,70.81,clear sky,-24.8667,113.6333,Hospitality Carnarvon
67,Avarua,CK,73.45,broken clouds,-21.2078,-159.775,Paradise Inn
72,Lorengau,PG,79.34,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
74,Dieppe,FR,71.33,clear sky,49.75,1.1667,LA LONGERE DES NUITS DE VARENNE
75,Bartica,GY,89.92,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
82,Saint-Denis,FR,72.75,clear sky,48.9167,2.3333,ibis budget Paris Porte de Montmartre
86,Margate,GB,74.88,few clouds,51.3813,1.3862,Premier Inn Margate hotel
87,Ingham,US,89.78,light rain,42.6,-84.3833,Sunset Mobile Home Park
94,Kapaa,US,82.38,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
110,Katsuura,JP,77.25,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
111,Mranggen,ID,76.84,overcast clouds,-7.0268,110.5158,Bushro Adventure - Toko Alat Outdoor Demak
113,Serra Talhada,BR,79.86,overcast clouds,-7.9919,-38.2983,Pousada São Luiz
116,Jaroslaw,PL,75.11,clear sky,50.0162,22.6778,Hotel & Restauracja Coloseum
121,Atuona,PF,77.65,clear sky,-9.8,-139.0333,Villa Enata
123,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
127,Kirakira,SB,79.07,broken clouds,-10.4544,161.9205,SanBiz Lodge
130,Oistins,BB,87.89,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
133,Torbay,CA,71.58,broken clouds,47.6666,-52.7314,Gallows Cove
134,Nawa,IN,88.27,light rain,27.0167,75.0,"Sambharia Bhawan,Kuchaman Road,Nawa City"
137,Castro,BR,70.36,clear sky,-24.7911,-50.0119,CHACARA BAILLY
138,Nikolskoye,RU,70.88,overcast clouds,59.7035,30.7861,Tourist House - Sablino
140,Kudahuvadhoo,MV,80.92,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
142,Amalapuram,IN,80.78,scattered clouds,16.5833,82.0167,swayamprabha service apartments
149,Portland,US,86.61,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
150,Vasteras,SE,76.91,broken clouds,59.6162,16.5528,Scandic Västerås
151,Oussouye,SN,77.18,moderate rain,12.485,-16.5469,Auberge du Routard
152,Jamestown,US,87.71,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
155,Massa Marittima,IT,82.81,clear sky,43.049,10.8928,La Fenice Park Hotel
156,Santa Marta,CO,84.87,broken clouds,11.2408,-74.199,Hotel La Ballena Azul
160,Vila,PT,76.69,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
161,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
162,Lazaro Cardenas,MX,88.54,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
167,Palmares,BR,75.88,scattered clouds,-8.6833,-35.5917,Destak Hotel Residence
171,Gua Musang,MY,72.82,overcast clouds,4.8823,101.9644,Mines Inn Hotel
172,Ahuimanu,US,80.31,few clouds,21.4447,-157.8378,Paradise Bay Resort
173,Shimoda,JP,76.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
175,Linhares,BR,77.68,few clouds,-19.3911,-40.0722,Hotel Conceição
176,Kavieng,PG,81.03,light rain,-2.5744,150.7967,Nusa Island Retreat
177,Bathsheba,BB,88.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
178,Balkhash,KZ,76.15,clear sky,46.844,74.9804,Family
180,Takoradi,GH,74.61,broken clouds,4.8845,-1.7554,Raybow International Hotel
182,Lengshuijiang,CN,79.12,overcast clouds,27.6881,111.4294,Sheraton
183,Hasaki,JP,75.6,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
186,Dongsheng,CN,70.32,clear sky,39.8161,109.9776,Crowne Plaza Ordos
187,Goderich,CA,88.12,overcast clouds,43.7501,-81.7165,Harmony Inn
189,Gizo,SB,80.96,overcast clouds,-8.103,156.8419,Imagination Island
191,Pitimbu,BR,77.59,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
194,Male,MV,82.35,broken clouds,4.1748,73.5089,Hotel Octave Maldives
195,Thompson,CA,71.76,scattered clouds,55.7435,-97.8558,Burntwood Hotel
203,Nishihara,JP,83.48,overcast clouds,26.1842,127.7558,Minshuku Agaihama
205,Cochrane,CA,72.9,clear sky,51.1834,-114.4687,Days Inn & Suites by Wyndham Cochrane
206,Namie,JP,71.71,broken clouds,37.4833,141.0,いこいの村なみえ
210,Malindi,KE,75.36,scattered clouds,-3.2175,40.1191,African House Resort
213,Aguas Formosas,BR,77.23,overcast clouds,-17.0822,-40.9358,HOTEL HAVAY PALACE
214,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
219,Inirida,CO,85.28,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
223,Augusto Correa,BR,83.95,broken clouds,-1.0217,-46.635,Fazenda Bacuri
224,Arraial Do Cabo,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
226,Cayenne,GF,86.04,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
227,Ubud,ID,74.59,broken clouds,-8.5098,115.2654,Maya Ubud Resort & Spa
228,Fort Nelson,CA,72.99,few clouds,58.8053,-122.7002,The Fort Nelson Hotel
233,Norman Wells,CA,71.64,broken clouds,65.282,-126.8329,Heritage Hotel
235,Acapulco,MX,87.62,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
237,Notodden,NO,75.76,overcast clouds,59.5594,9.2585,Brattrein Hotel
238,Tecoanapa,MX,86.4,overcast clouds,16.5167,-98.75,Hotel Manglares
240,Kloulklubed,PW,73.9,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
245,Slave Lake,CA,71.58,few clouds,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
247,Manado,ID,74.17,few clouds,1.487,124.8455,Aryaduta Hotel
252,Nouakchott,MR,78.73,overcast clouds,18.0858,-15.9785,HOTEL IMAN
253,Pinhao,BR,70.39,few clouds,-25.6956,-51.6597,Pinhão Park Hotel
254,Itarema,BR,82.36,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
256,Conceicao Da Barra,BR,76.33,few clouds,-18.5933,-39.7322,Cricaré Praia Hotel
257,High Level,CA,73.51,scattered clouds,58.5169,-117.136,Days Inn by Wyndham High Level
268,Gwadar,PK,83.07,overcast clouds,25.1216,62.3254,Sadaf Resort
270,Linfen,CN,74.44,clear sky,36.0889,111.5189,Suoxing Hotel
271,Tottori,JP,73.38,broken clouds,35.5,134.2333,Hotel Monarque Tottori
273,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
275,Komsomolskiy,UZ,81.32,clear sky,40.4272,71.7189,Ikathouse
276,Saint Anthony,US,89.15,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
278,Nador,MA,80.85,broken clouds,35.174,-2.9287,Hôtel La Giralda
283,Williams Lake,CA,80.06,few clouds,52.1415,-122.1445,Stampeder Motel
284,Palauig,PH,81.68,overcast clouds,15.435,119.9045,Villa Raphael Resort
286,Borujerd,IR,88.03,clear sky,33.8973,48.7516,Zagros Hotel
288,Santa Rosa,PH,82.38,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
292,Saint John,CA,81.63,few clouds,45.2727,-66.0677,Delta Hotels by Marriott Saint John
296,Alghero,IT,87.89,clear sky,40.5589,8.3181,Smy Carlos V Alghero
