City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2022-07-18 23:52:26,-53.15,-70.9167,39.31,87,75,31.07
1,Guerrero Negro,MX,2022-07-18 23:55:36,27.9769,-114.0611,78.17,56,4,15.05
2,Faya,SA,2022-07-18 23:55:36,18.3851,42.4509,68.52,39,62,4.14
3,Kharhial,IN,2022-07-18 23:55:36,20.2833,82.7667,73.53,92,73,5.28
4,Bluff,NZ,2022-07-18 23:55:37,-46.6,168.3333,45.81,72,97,16.17
5,San Patricio,US,2022-07-18 23:55:37,28.017,-97.5169,95.54,58,30,16.26
6,Ushuaia,AR,2022-07-18 23:55:38,-54.8,-68.3,37.06,87,75,10.36
7,Hilo,US,2022-07-18 23:51:39,19.7297,-155.09,91.27,74,75,9.22
8,Hobart,AU,2022-07-18 23:55:38,-42.8794,147.3294,46.26,82,75,11.5
9,Pevek,RU,2022-07-18 23:55:39,69.7008,170.3133,32.29,98,100,7.0
10,Alofi,NU,2022-07-18 23:55:39,-19.0595,-169.9187,78.69,69,75,17.27
11,Klyuchi,RU,2022-07-18 23:55:40,52.2667,79.1667,58.12,74,16,6.35
12,Qaanaaq,GL,2022-07-18 23:55:40,77.484,-69.3632,44.13,63,0,4.92
13,Saldanha,ZA,2022-07-18 23:54:21,-33.0117,17.9442,50.05,79,0,10.36
14,Cape Town,ZA,2022-07-18 23:52:44,-33.9258,18.4232,56.91,82,0,7.0
15,Port Blair,IN,2022-07-18 23:51:41,11.6667,92.75,77.04,100,75,2.3
16,Mataura,NZ,2022-07-18 23:55:23,-46.1927,168.8643,45.48,94,100,2.1
17,Islamkot,PK,2022-07-18 23:55:41,24.6997,70.177,82.31,80,100,13.6
18,Talnakh,RU,2022-07-18 23:55:41,69.4865,88.3972,61.21,51,88,1.03
19,Victoria,HK,2022-07-18 23:55:42,22.2855,114.1577,89.19,86,100,8.01
20,Busselton,AU,2022-07-18 23:55:42,-33.65,115.3333,51.26,84,0,7.67
21,Mehamn,NO,2022-07-18 23:54:18,71.0357,27.8492,57.15,82,100,4.61
22,Qasigiannguit,GL,2022-07-18 23:55:43,68.8193,-51.1922,41.31,82,78,1.52
23,Yangcun,CN,2022-07-18 23:55:43,39.3639,117.0603,84.18,64,70,2.75
24,Khatanga,RU,2022-07-18 23:55:44,71.9667,102.5,53.8,73,100,8.01
25,Kaitangata,NZ,2022-07-18 23:55:44,-46.2817,169.8464,46.27,87,100,9.17
26,Abu Kamal,SY,2022-07-18 23:55:45,34.4506,40.9171,88.92,19,1,1.05
27,Chicama,PE,2022-07-18 23:55:45,-7.8447,-79.1469,59.54,81,69,7.56
28,Santa Cruz,BO,2022-07-18 23:55:45,-17.8,-63.1667,73.45,73,75,11.5
29,Rikitea,PF,2022-07-18 23:51:54,-23.1203,-134.9692,74.71,74,13,10.74
30,Albany,US,2022-07-18 23:52:52,42.6001,-73.9662,76.73,88,100,3.0
